,0
0,0.5570753313593857
1,0.558547348386829
2,0.5586169079832162
3,0.5589618534854629
4,0.558929303454318
5,0.5591851702058042
6,0.5659765402556342
7,0.6271534651136965
8,0.6269465795797563
9,0.6299952640947004
10,0.6303637711262254
11,0.6302841002298682
12,0.6558502692210956
13,0.7272961961404285
14,0.7351207597584557
15,0.7390630653112189
16,0.7391887107148702
17,0.7387966141585173
18,0.7387204262145737
19,0.7437187711616289
20,0.748875069439851
21,0.7516415009250418
22,0.7577753263167339
23,0.75784772886216
24,0.7581512231139462
25,0.7581857879967602
26,0.7580687392239842
27,0.7599046630530715
28,0.760365577621949
29,0.7603497726569507
30,0.760169065355304
31,0.7600292600420293
32,0.762871034076193
33,0.7657432615946205
34,0.7657620247337882
35,0.7658265128686885
36,0.7657508136520977
37,0.7659218035945136
38,0.766248157493603
39,0.7706900158328625
40,0.774360324551939
41,0.7743357366905114
42,0.7744332433651193
43,0.7747490729778937
44,0.7757622897714032
45,0.7763223922545602
46,0.7850223231489881
47,0.7849450875515473
48,0.7873748659849904
49,0.7873659325443079
50,0.7873991085575104
51,0.7879083881436428
52,0.8093367709642154
53,0.8438206188649966
54,0.8448999487594729
55,0.8448967300638592
56,0.8450771584890259
57,0.8459904921447876
58,0.845886215549894
59,0.8461118623553239
60,0.8493738227189669
61,0.8539789262349068
62,0.855755506298682
63,0.8559213639957207
64,0.8559856422326639
65,0.8561202232938845
66,0.8563787210737888
67,0.8562421663596755
68,0.8605436493279989
69,0.8609672230601195
70,0.8622358194707814
71,0.8622530795804897
72,0.8640099128117198
73,0.8640205456862387
74,0.8671090903745128
75,0.8670658294776032
76,0.8675885902686385
77,0.8676180117470926
78,0.8701621844651332
79,0.8701459423301081
80,0.8702540750794748
81,0.8702484201707241
