,0
0,0.024871440364209792
1,0.02485308537452893
2,0.024797216927882424
3,0.024802675024511386
4,0.024529955879148663
5,0.0242605703029197
6,0.021091008443467386
7,0.022157091385627808
8,0.022319808710328307
9,0.021268771782232975
10,0.020909507675309053
11,0.020670238469580576
12,0.01930360942505999
13,0.02189314326915123
14,0.020513118042508285
15,0.019725862436862796
16,0.019207736189594773
17,0.019116407054564778
18,0.019091942508335694
19,0.017738181956385296
20,0.018110640266524553
21,0.01853475266815692
22,0.017377492782047574
23,0.01748198009696583
24,0.01815655533411943
25,0.01803916257113257
26,0.017964458630366578
27,0.01790008684439855
28,0.018078681880572194
29,0.017993230132369028
30,0.017949806428574137
31,0.018097023292724196
32,0.017521819122063655
33,0.017463243889528506
34,0.017383308742187933
35,0.017112140705521847
36,0.017128498641828836
37,0.017129187791325502
38,0.01702265361607774
39,0.017261030426783876
40,0.018338918145490726
41,0.018268078594844094
42,0.018233356226340376
43,0.01800279647005191
44,0.017672080860632176
45,0.017171452336925193
46,0.01790382258888861
47,0.01797137868025769
48,0.018275220344473566
49,0.018124344137364506
50,0.018086120144173202
51,0.01796968659081299
52,0.011427338712204242
53,0.011247437318513987
54,0.010177581779678823
55,0.010194322217100912
56,0.010504210592400151
57,0.010429848414318143
58,0.010452621023408873
59,0.010755617032272726
60,0.01052455481345251
61,0.01000614543699648
62,0.010060626638931898
63,0.009992049664419205
64,0.010136957193703666
65,0.010165899459611945
66,0.010280186288239544
67,0.010394696973475375
68,0.009213243288275295
69,0.009307451337539555
70,0.00884049512500952
71,0.008841607292263172
72,0.008931634588502062
73,0.008942010768608386
74,0.00796599686098717
75,0.007926707395109867
76,0.007610108896443494
77,0.007614890707232351
78,0.008383216058285424
79,0.008417383056592185
80,0.008335040544254766
81,0.008338035027507304
